episode,timestep,reward
3852,839000,146.8594
3863,840000,-33.4493
3874,841000,50.8251
3884,842000,-59.15
3896,843000,44.6223
3908,844000,88.3174
3920,845000,48.0889
3931,846000,114.4646
3942,847000,-12.9796
3953,848000,16.7353
3964,849000,69.6263
3975,850000,9.7832
3987,851000,91.2126
4000,852000,63.8755
4012,853000,-27.6139
4023,854000,47.5416
4034,855000,2.9476
4044,856000,-204.966
4055,857000,76.7399
4066,858000,42.2941
4078,859000,21.8562
4086,860000,-143.9072
4098,861000,-12.6691
4109,862000,29.5585
4122,863000,156.2503
4133,864000,-102.9838
4140,865000,-305.3355
4150,866000,-127.453
4163,867000,118.7026
4171,868000,-46.9776
4180,869000,-87.9644
4189,870000,-234.0981
4201,871000,-23.945
4213,872000,14.7511
4222,873000,-49.2171
4231,874000,-25.6999
4245,875000,19.3612
4255,876000,-9.7129
4264,877000,-222.5981
4272,878000,-172.4506
4281,879000,-53.0144
4292,880000,-38.4887
4300,881000,-149.2495
4310,882000,93.4323
4321,883000,-101.3765
4331,884000,-16.9089
4341,885000,-58.5587
4350,886000,-16.6705
4360,887000,6.5504
4370,888000,7.4421
4380,889000,89.667
4390,890000,14.854
4400,891000,-108.0545
4411,892000,3.5099
4422,893000,-31.2949
4434,894000,8.5818
4445,895000,57.2501
4458,896000,132.5093
4468,897000,-76.0193
4477,898000,-116.1926
4490,899000,112.9795
4502,900000,141.7761
4514,901000,35.2531
4523,902000,-17.0054
4534,903000,24.5093
4541,904000,-364.1832
4551,905000,2.4498
4562,906000,44.0259
4575,907000,74.0111
4584,908000,-28.6097
4595,909000,1.5309
4606,910000,-45.5112
4618,911000,-40.4586
4630,912000,26.8419
4638,913000,-47.0703
4650,914000,68.8484
4660,915000,114.8225
4670,916000,-128.936
4678,917000,-141.978
4687,918000,-89.818
4693,919000,-136.1155
4704,920000,-295.0792
4716,921000,11.763
4728,922000,50.6653
4739,923000,119.7586
4753,924000,88.1838
4763,925000,-76.8007
4774,926000,-98.2935
4787,927000,46.3386
4799,928000,11.4127
4811,929000,-22.3749
4821,930000,-21.9416
4832,931000,55.4651
4842,932000,-32.3138
4853,933000,18.1183
4865,934000,-126.9213
4877,935000,71.056
4889,936000,87.6373
4902,937000,92.5088
4912,938000,-44.593
4923,939000,-102.5691
4934,940000,148.3378
4945,941000,3.2038
4957,942000,94.2573
4969,943000,53.4046
4982,944000,128.2621
4994,945000,13.3487
5004,946000,-48.3128
5016,947000,27.2417
5024,948000,-307.0876
5035,949000,33.5512
5045,950000,-30.8434
5056,951000,12.2776
5067,952000,58.0381
5076,953000,-78.1129
5088,954000,47.607
5098,955000,-52.056
5108,956000,-41.671
5119,957000,22.0338
5130,958000,2.1898
5143,959000,113.7032
5155,960000,138.0133
5167,961000,171.8582
5179,962000,31.3439
5189,963000,28.3709
5200,964000,25.313
5210,965000,-114.2358
5221,966000,-22.6709
5232,967000,11.8607
5243,968000,63.9632
5254,969000,-82.5082
5262,970000,-30.4651
5273,971000,49.4391
5284,972000,157.0624
5295,973000,31.0688
5306,974000,74.4514
5316,975000,57.7055
5325,976000,-80.6394
5333,977000,-132.7466
5343,978000,-8.6364
5355,979000,46.0382
5368,980000,81.0559
5379,981000,-17.6315
5391,982000,-79.662
5402,983000,63.6663
5415,984000,61.6199
5427,985000,-46.9197
5440,986000,-60.4339
5453,987000,94.8107
5464,988000,32.1014
5477,989000,158.0103
5487,990000,116.0226
5500,991000,42.4426
5513,992000,42.4685
5524,993000,-56.2011
5538,994000,97.0169
5551,995000,-12.2987
5563,996000,57.2522
5575,997000,34.5307
5588,998000,105.6276
5600,999000,91.2439
5613,1000000,35.2624
